"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","生产特征表测试用例","0","0","修改名称，显示颜色成功","0"
"0","","0","个人设置测试用例","1","0","修改密码不符合标准,不允许包含用户名","0"
"0","","0","资源表测试用例","1","0","代码设计器选择成功，并且没有乱码","0"
"0","","0","事务管理页用例","1","0","我的流程-是否启动查询为关闭","0"
"0","","0","物品切换表测试用例","1","0","查询资源成功","0"
"1","","0","物控方案管理表测试用例","0","0","添加2个命令成功","0"
"1","","0","物料库存测试用例","1","0","删除数据成功","0"
"0","","0","个人设置测试用例","1","0","切换系统语言-日语","0"
"0","","0","标准应用设置测试用例","1","0","添加仪表盘统计图 添加成功","0"
"0","","0","客户表测试用例","1","0","刷新成功","0"
"0","","0","工序表测试用例","1","0","删除数据成功","0"
"1","","0","物料交付答复测试用例","0","0","修改数据重复","0"
"0","","0","标准应用设置测试用例","1","0","设置表格布局-改变关联条件列的顺序","0"
"0","","0","制造订单表测试用例","1","0","添加数据重复","0"
"1","","0","物料库存测试用例","0","0","新增全部数据测试","0"
"0","","0","环境设置页用例","1","0","周期页面-计划基准日期，选择固定日期，保存成功","0"
"0","","0","标准应用设置测试用例","1","0","设置表格布局-设置一页显示数据为50000","0"
"0","","0","物控需求定义测试用例","1","0","添加信息，有多个必填只填写一项，不允许提交","0"
"1","","0","生产报工测试用例","0","0","删除超出的报工数量点击删除弹出弹窗，点击是报工状态会变为开始生产，数据会删除","0"
"0","","0","事务管理页用例","1","0","事务模版-新增模版成功，事务类型为服务，填写物控计算成功","0"
"0","","0","工艺产能表测试用例","1","0","添加工艺产能信息 不填写数据点击确认 不允许提交","0"
"1","","0","物控需求定义测试用例","0","0","编辑全部选项成功","0"
"0","","0","事务管理页用例","1","0","我的流程-流程事务查询成功","0"
"0","","0","资源切换表测试用例","1","0","添加资源切换信息 填写资源不填写前资源和后资源 不允许提交","0"
"1","","0","事务管理页用例","0","0","我的流程-频率为月，保存成功","0"
"0","","0","生产特征切换表测试用例","1","0","数字文本框 只允许填写数字","0"
"0","","0","个人设置测试用例","1","0","恢复菜单展开方式为默认展开","0"
"0","","0","方案管理表测试用例","2","0","属性设置-新增资源选择策略","0"
"0","","0","生产特征切换表测试用例","1","0","删除数据成功","0"
"0","","1","物控方案管理表测试用例","0","0","添加复制方案成功","0"
"1","","0","订单预占料测试用例","0","0","添加交付需求明细信息，有多个必填只填写一项，不允许提交","0"
"0","","0","工艺产能表测试用例","1","0","删除工序编号成功","0"
"2","","0","生产报工测试用例","0","0","添加测试数据","0"
"1","","0","订单预占料测试用例","0","0","修改数据重复","0"
"1","","0","供应商信息测试用例","0","0","刷新成功","0"
"1","","0","物控需求定义测试用例","0","0","新增全部数据测试","0"
"1","","0","物控需求定义测试用例","0","0","修改数据重复","0"
"0","","0","仓库库位测试用例","1","0","添加数据成功","0"
"0","","0","事务管理页用例","1","0","我的流程-复制流程成功","0"
"1","","0","用户与物料员测试用例","0","0","添加数据成功","0"
"0","","0","资源组表测试用例","1","0","添加资源组信息，只填写资源名称，不填写资源代码，不允许提交","0"
"1","","0","事务管理页用例","0","0","我的流程-频率为周，保存成功","0"
"0","","0","个人设置测试用例","1","0","重新启动设置不变,设置菜单展开方式为默认展开","0"
"0","","0","物控方案管理表测试用例","1","0","添加方案管理信息 添加重复 不允许提交","0"
"0","","0","制造订单表测试用例","1","0","修改物料名称，计划数量成功","0"
"0","","0","方案管理表测试用例","1","0","删除命令成功","0"
"0","","0","制造订单表测试用例","1","0","添加数据成功","0"
"0","","0","登录页面测试用例","1","0","登录成功","0"
"0","","0","生产特征表测试用例","1","0","重新打开浏览器，数据还存在","0"
"1","","0","生产报工测试用例","1","0","删除数据","0"
"0","","0","制造订单表测试用例","1","0","查询制造订单代码成功","0"
"0","","0","标准应用设置测试用例","1","0","设置表格布局-表尾内容设置为平均","0"
"0","","0","资源甘特图测试用例","1","0","指令筛选可使用","0"
"0","","0","物料表测试用例","1","0","查询物料名称包含材料并且物料优先度>70","0"
"0","","0","方案管理表测试用例","1","0","属性设置-分割工作靠拢在一起","0"
"0","","0","物控需求定义测试用例","1","0","添加信息 不填写数据点击确认 不允许提交","0"
"0","","0","方案管理表测试用例","1","0","添加复制测试方案成功","0"
"0","","0","工艺产能表测试用例","1","0","修改工艺产能工序代码","0"
"1","","0","物料库存测试用例","0","0","刷新成功","0"
"0","","0","环境设置页用例","1","0","全体页面-所有复选框都点击取消勾选，并且保存成功","0"
"0","","0","资源甘特图测试用例","1","0","按钮是否显示工作选择面板开关可关闭","0"
"0","","0","物料表测试用例","1","0","修改物料名称，自动补充标识，关联条件成功","0"
"0","","0","环境设置页用例","1","0","排程页面-所有复选框都点击取消勾选，并且保存成功","0"
"1","","0","标准应用设置测试用例","0","0","添加重复标签名，不允许修改","0"
"0","","0","物料表测试用例","1","0","查询物料优先度>60","0"
"1","","0","物料员测试用例","0","0","查询物料员代码成功","0"
"0","","0","标准应用设置测试用例","1","0","添加柱状统计图 输入重复的表名 点击确认 添加失败","0"
"0","","0","班次表测试用例","1","0","把修改后的班次代码改回来","0"
"0","","0","制造订单表测试用例","1","0","删除测试数据成功，删除布局成功","0"
"1","","0","仓库库位测试用例","0","0","修改工厂代码重复","0"
"1","","0","供应商信息测试用例","0","0","删除测试数据成功","0"
