"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12937","test_customer_editnamesuccess","Tests.test_items","Fri Mar 20 21:13:37 CST 2026","passed","Fri Mar 20 21:13:50 CST 2026","TestCustomerPage","test_customer","",""
"","19361","test_menu_selectsuccess1","Tests.test_system","Sat Mar 21 06:53:32 CST 2026","passed","Sat Mar 21 06:53:51 CST 2026","TestSMenuPage","test_menu","",""
"","15106","test_materialControlSupplyDefinition_selectsuccess2","Tests.test_material","Sat Mar 21 04:44:00 CST 2026","passed","Sat Mar 21 04:44:15 CST 2026","TestSMaterialControlSupplyDefinitionPage","test_materialControlSupplyDefinition","",""
"","30782","test_inTransitInventory_delsuccess3","Tests.test_material","Sat Mar 21 04:02:00 CST 2026","passed","Sat Mar 21 04:02:31 CST 2026","TestItemPage","test_inTransitInventory","",""
"","29800","test_personal_exit1","Tests.test_items","Sat Mar 21 02:11:34 CST 2026","passed","Sat Mar 21 02:12:04 CST 2026","TestPersonalPage","test_personal","",""
"","15489","test_resourcegroup_ctrlC","Tests.test_items","Fri Mar 20 22:10:07 CST 2026","passed","Fri Mar 20 22:10:23 CST 2026","TestResourceGroupPage","test_resourcegroup","",""
"","26883","test_materialInventory_selectnodatasuccess","Tests.test_material","Sat Mar 21 04:10:39 CST 2026","passed","Sat Mar 21 04:11:06 CST 2026","TestItemPage","test_materialInventory","",""
"","17671","test_sched_mostendtime","Tests.test_items","Sat Mar 21 00:22:04 CST 2026","passed","Sat Mar 21 00:22:22 CST 2026","TestSchedPage","test_sched","",""
"","13541","test_relateddetails_select5","Tests.test_items","Sat Mar 21 00:41:28 CST 2026","passed","Sat Mar 21 00:41:42 CST 2026","TestWorkTasksPage","test_worktasks","",""
"","9846","test_coverage_ctrlC","Tests.test_items","Fri Mar 20 22:54:50 CST 2026","passed","Fri Mar 20 22:55:00 CST 2026","TestCoveragePage","test_coverage","",""
"","4691","test_shift_shift","Tests.test_items","Fri Mar 20 22:46:52 CST 2026","passed","Fri Mar 20 22:46:56 CST 2026","TestShiftPage","test_shift","",""
"","14163","test_materialVendorQuota_clear","Tests.test_material","Sat Mar 21 03:08:14 CST 2026","passed","Sat Mar 21 03:08:28 CST 2026","TestItemPage","test_materialVendorQuota","",""
"","5973","test_tablesetting_hiddenrow2","Tests.test_items","Sat Mar 21 02:13:51 CST 2026","passed","Sat Mar 21 02:13:57 CST 2026","TestTableSettingPage","test_tablesetting","",""
"","7194","test_material_MRPRequirementPlanning_export","Tests.test_material","Sat Mar 21 05:09:05 CST 2026","passed","Sat Mar 21 05:09:13 CST 2026","TestSPlanDataPage","test_materialMRPandList","",""
"","20023","test_setting_statistics_success8","Tests.test_items","Sat Mar 21 01:48:31 CST 2026","passed","Sat Mar 21 01:48:51 CST 2026","TestSettingPage","test_setting","",""
