"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10271","test_personal_editpasswordsuccess","Tests.test_item","Wed Jul 16 22:23:11 CST 2025","broken","Wed Jul 16 22:23:21 CST 2025","TestPersonalPage","test_personal","",""
"","6588","test_item_addsuccess","Tests.test_item","Wed Jul 16 19:58:45 CST 2025","passed","Wed Jul 16 19:58:51 CST 2025","TestItemPage","test_item","",""
"","6292","test_resourcegroup_addrepeat","Tests.test_item","Wed Jul 16 20:22:02 CST 2025","passed","Wed Jul 16 20:22:08 CST 2025","TestResourceGroupPage","test_resourcegroup","",""
"","7440","test_function_switch","Tests.test_item","Wed Jul 16 22:19:44 CST 2025","passed","Wed Jul 16 22:19:52 CST 2025","TestFunctionPage","test_function","",""
"","10584","test_calendar_adddatesuccess","Tests.test_item","Wed Jul 16 20:47:25 CST 2025","passed","Wed Jul 16 20:47:36 CST 2025","TestCalendarPage","test_calendar","",""
"","5105","test_shift_addsuccess","Tests.test_item","Wed Jul 16 20:36:15 CST 2025","passed","Wed Jul 16 20:36:20 CST 2025","TestShiftPage","test_shift","",""
"","10319","test_personal_openengine1","Tests.test_item","Wed Jul 16 22:25:48 CST 2025","broken","Wed Jul 16 22:25:59 CST 2025","TestPersonalPage","test_personal","",""
"","4014","test_changer_refreshsuccess","Tests.test_item","Wed Jul 16 21:00:43 CST 2025","passed","Wed Jul 16 21:00:47 CST 2025","TestChangeRPage","test_changeR","",""
"","6100","test_customer_addsuccess","Tests.test_item","Thu Jul 17 10:11:15 CST 2025","passed","Thu Jul 17 10:11:22 CST 2025","TestCustomerPage","test_customer","",""
"","5866","test_spec_editcodesuccess2","Tests.test_item","Wed Jul 16 19:43:49 CST 2025","passed","Wed Jul 16 19:43:55 CST 2025","TestSpecPage","test_spec1","",""
"","12026","test_calendar_addweeksuccess","Tests.test_item","Wed Jul 16 20:47:03 CST 2025","passed","Wed Jul 16 20:47:15 CST 2025","TestCalendarPage","test_calendar","",""
"","7024","test_resource_addnamefail","Tests.test_item","Wed Jul 16 20:12:47 CST 2025","passed","Wed Jul 16 20:12:54 CST 2025","TestResourcePage","test_resource","",""
